PO_Number,Material,Quantity,Price,Timestamp
4500000176,P-A2026-3,11,99,2026-01-24T14:55:06.882Z
4500000177,P-A2026-2,34,8763,2026-01-24T14:55:32.907Z
4500000178,P-A2026-1,99,2341,2026-01-24T14:55:58.338Z
4500000179,P-A2026-3,11,99,2026-01-24T14:59:05.618Z
4500000180,P-A2026-2,34,8763,2026-01-24T14:59:30.970Z
4500000181,P-A2026-3,11,99,2026-01-24T15:02:06.070Z
4500000182,P-A2026-2,34,8763,2026-01-24T15:02:31.322Z
4500000183,P-A2026-1,99,2341,2026-01-24T15:02:56.334Z
4500000184,P-A2026-2,34,8763,2026-01-24T15:06:44.582Z
4500000185,P-A2026-1,99,2341,2026-01-24T15:07:10.136Z
4500000186,P-A2026-3,11,99,2026-01-24T15:14:48.157Z
4500000187,P-A2026-2,34,8763,2026-01-24T15:15:13.745Z
4500000188,P-A2026-1,99,2341,2026-01-24T15:15:39.198Z
4500000189,P-A2026-3,11,99,2026-01-24T15:22:22.887Z
4500000191,P-A2026-3,11,99,2026-01-24T15:23:48.386Z
4500000192,P-A2026-3,11,99,2026-01-24T15:27:14.669Z
4500000193,P-A2026-3,11,99,2026-01-24T15:30:59.837Z
4500000194,P-A2026-2,34,8763,2026-01-24T15:31:25.073Z
4500000195,P-A2026-1,99,2341,2026-01-24T15:31:49.809Z
4500000196,P-A2026-3,11,99,2026-01-24T15:33:23.623Z
4500000197,P-A2026-2,34,8763,2026-01-24T15:33:48.340Z
4500000198,P-A2026-1,99,2341,2026-01-24T15:34:13.622Z
4500000199,P-A2026-3,11,99,2026-01-24T15:38:35.680Z
4500000200,P-A2026-2,34,8763,2026-01-24T15:39:00.597Z
4500000201,P-A2026-1,99,2341,2026-01-24T15:39:25.709Z
4500000203,P-A2026-3,11,99,2026-01-24T18:00:46.377Z
4500000204,P-A2026-2,34,8763,2026-01-24T18:01:10.537Z
4500000205,P-A2026-3,11,99,2026-01-24T18:09:02.456Z
4500000206,P-A2026-2,34,8763,2026-01-24T18:09:26.946Z
4500000207,P-A2026-1,99,2341,2026-01-24T18:09:51.234Z
4500000208,P-A2026-3,11,99,2026-01-24T18:21:13.080Z
4500000209,P-A2026-2,34,8763,2026-01-24T18:21:37.935Z
4500000210,P-A2026-1,99,2341,2026-01-24T18:22:02.407Z
4500000211,P-A2026-3,11,99,2026-01-24T18:41:50.922Z
4500000212,P-A2026-2,34,8763,2026-01-24T18:42:15.390Z
4500000213,P-A2026-1,99,2341,2026-01-24T18:42:39.849Z
4500000214,P-A2026-1,99,2141,2026-01-24T18:43:04.300Z
4500000215,P-A2026-3,11,99,2026-01-24T18:48:47.435Z
4500000216,P-A2026-2,34,8763,2026-01-24T18:49:12.001Z
4500000217,P-A2026-1,99,2341,2026-01-24T18:49:36.991Z
4500000218,P-A2026-1,99,2141,2026-01-24T18:50:01.837Z
4500000264,P-A2026-3,11,99,2026-01-25T06:46:15.089Z
4500000265,P-A2026-2,34,8763,2026-01-25T06:46:38.604Z
4500000266,P-A2026-1,99,2341,2026-01-25T06:47:02.178Z
4500000267,P-A2026-1,99,2141,2026-01-25T06:47:25.451Z
4500000278,P-A2026-3,11,99,2026-01-26T14:26:06.651Z
4500000279,P-A2026-1,99,2341,2026-01-26T14:26:30.714Z
4500000280,P-A2026-2,34,8763,2026-01-26T14:26:54.398Z
4500000284,P-A2026-3,11,99,2026-01-26T15:17:23.533Z
4500000285,P-A2026-1,99,2341,2026-01-26T15:17:46.277Z
4500000286,P-A2026-2,34,8763,2026-01-26T15:18:09.338Z
4500000287,P-A2026-3,11,99,2026-01-26T15:20:04.131Z
4500000288,P-A2026-3,11,99,2026-01-26T15:22:58.659Z
4500000289,P-A2026-1,99,2341,2026-01-26T15:23:21.976Z
4500000290,P-A2026-2,34,8763,2026-01-26T15:23:45.769Z
4500000291,P-A2026-3,11,99,2026-01-26T16:10:45.244Z
4500000292,P-A2026-2,34,8763,2026-01-26T16:11:09.705Z
4500000293,P-A2026-1,99,2341,2026-01-26T16:11:33.910Z
4500000296,P-A2026-3,11,99,2026-01-26T16:52:03.507Z
4500000297,P-A2026-2,34,8763,2026-01-26T16:52:27.498Z
4500000298,P-A2026-1,99,2341,2026-01-26T16:52:59.744Z
4500000304,P-A2026-2,34,7763,2026-01-27T05:24:16.095Z
4500000305,P-A2026-1,99,2341,2026-01-27T05:24:41.451Z
4500000313,P-A2026-3,11,199,2026-01-27T09:31:03.988Z
4500000314,P-A2026-2,34,7763,2026-01-27T09:31:29.250Z
4500000315,P-A2026-1,99,2341,2026-01-27T09:31:54.019Z
4500000318,P-A2026-2,34,7763,2026-01-27T13:42:10.842Z
4500000319,P-A2026-1,99,2341,2026-01-27T13:42:36.555Z
4500000321,P-A2026-2,34,7763,2026-01-27T13:59:32.152Z
4500000322,P-A2026-1,99,2341,2026-01-27T13:59:58.844Z
4500000323,P-A2026-3,11,199,2026-01-27T14:03:02.897Z
4500000324,P-A2026-2,34,7763,2026-01-27T14:03:28.180Z
4500000325,P-A2026-3,11,199,2026-01-27T14:11:46.795Z
4500000326,P-A2026-3,11,199,2026-01-27T14:17:26.202Z
4500000327,P-A2026-1,34,2341,2026-01-27T14:17:51.474Z
4500000328,P-A2026-1,56,3341,2026-01-27T14:18:17.526Z
4500000329,P-A2026-1,32,5341,2026-01-27T14:18:43.289Z
4500000330,P-A2026-3,11,199,2026-01-27T14:48:33.414Z
4500000331,P-A2026-1,34,2341,2026-01-27T14:48:58.977Z
4500000332,P-A2026-1,56,3341,2026-01-27T14:49:24.605Z
4500000333,P-A2026-1,32,5341,2026-01-27T14:49:50.528Z
4500000334,P-A2026-3,11,199,2026-01-27T15:01:17.801Z
4500000335,P-A2026-1,34,2341,2026-01-27T15:01:43.065Z
4500000336,P-A2026-3,11,199,2026-01-27T15:04:56.302Z
4500000337,P-A2026-1,34,2341,2026-01-27T15:05:21.921Z
4500000338,P-A2026-3,11,199,2026-01-27T15:08:54.212Z
4500000339,P-A2026-1,34,2341,2026-01-27T15:09:19.410Z
4500000340,P-A2026-3,11,199,2026-01-27T15:17:49.273Z
4500000341,P-A2026-1,34,2341,2026-01-27T15:18:14.468Z
4500000342,P-A2026-3,11,199,2026-01-27T15:25:08.003Z
4500000343,P-A2026-1,34,2341,2026-01-27T15:25:34.210Z
4500000345,P-A2026-3,11,199,2026-01-28T06:13:58.839Z
4500000346,P-A2026-1,34,2341,2026-01-28T06:14:24.653Z
4500000347,P-A2026-1,34,2391,2026-01-28T06:14:51.149Z
4500000348,P-A2026-1,34,2361,2026-01-28T06:15:17.486Z
4500000349,P-A2026-3,11,199,2026-01-28T06:42:20.771Z
4500000350,P-A2026-1,34,2341,2026-01-28T06:42:47.007Z
4500000351,P-A2026-1,34,2391,2026-01-28T06:43:13.802Z
4500000352,P-A2026-1,34,2361,2026-01-28T06:43:40.661Z
4500000356,P-A2026-3,11,199,2026-01-28T08:57:54.981Z
4500000357,P-A2026-2,34,7763,2026-01-28T08:58:22.055Z
4500000358,P-A2026-1,99,2341,2026-01-28T08:58:48.808Z
4500000386,P-A2026-2,11,1299,2026-01-29T07:25:38.517Z
4500000387,P-A2026-3,34,4763,2026-01-29T07:26:05.080Z
4500000388,P-A2026-2,99,2541,2026-01-29T07:26:32.351Z
4500000390,P-A2026-3,1,1000,2026-01-29T09:38:45.537Z
4500000391,P-A2026-3,1,1000,2026-01-29T09:39:12.277Z
4500000392,P-A2026-3,1,1000,2026-01-29T09:39:38.858Z
4500000393,P-A2026-3,1,1000,2026-01-29T09:40:06.288Z
4500000394,P-A2026-3,1,1000,2026-01-29T09:40:33.852Z
4500000395,P-A2026-3,1,1000,2026-01-29T09:41:01.489Z
4500000396,P-A2026-3,1,1000,2026-01-29T09:41:29.525Z
4500000397,P-A2026-3,1,1000,2026-01-29T09:43:21.625Z
4500000398,P-A2026-3,1,1000,2026-01-29T09:43:47.846Z
4500000399,P-A2026-3,1,1000,2026-01-29T09:44:15.240Z
4500000400,P-A2026-3,1,1000,2026-01-29T09:44:42.632Z
4500000401,P-A2026-3,1,1000,2026-01-29T09:45:09.759Z
4500000402,P-A2026-3,1,1000,2026-01-29T09:45:37.343Z
4500000403,P-A2026-3,1,1000,2026-01-29T09:46:05.554Z
4500000404,P-A2026-3,1,1000,2026-01-29T09:47:18.506Z
4500000405,P-A2026-3,1,1000,2026-01-29T09:47:44.846Z
4500000406,P-A2026-3,1,1000,2026-01-29T09:48:12.073Z
4500000407,P-A2026-3,1,1000,2026-01-29T09:48:39.112Z
4500000408,P-A2026-3,1,1000,2026-01-29T09:49:06.587Z
4500000409,P-A2026-3,1,1000,2026-01-29T09:49:34.383Z
4500000410,P-A2026-3,1,1000,2026-01-29T09:50:02.596Z
4500000411,P-A2026-2,11,1299,2026-01-29T09:51:33.530Z
4500000412,P-A2026-3,34,4763,2026-01-29T09:51:59.799Z
4500000413,P-A2026-2,99,2541,2026-01-29T09:52:26.115Z
4500000414,P-A2026-2,15,1699,2026-01-29T09:59:13.105Z
4500000415,P-A2026-3,34,4763,2026-01-29T09:59:39.455Z
4500000416,P-A2026-2,99,2541,2026-01-29T10:00:05.744Z
4500000417,P-A2026-2,11,1299,2026-01-29T10:00:56.293Z
4500000418,P-A2026-3,34,4763,2026-01-29T10:01:22.595Z
4500000419,P-A2026-2,99,2541,2026-01-29T10:01:49.157Z
4500000420,P-A2026-2,11,1299,2026-01-29T10:03:26.339Z
4500000421,P-A2026-3,34,4763,2026-01-29T10:03:52.558Z
4500000422,P-A2026-2,99,2541,2026-01-29T10:04:19.148Z
4500000423,P-A2026-2,11,1299,2026-01-29T10:15:07.166Z
4500000424,P-A2026-3,64,463,2026-01-29T10:15:33.492Z
4500000425,P-A2026-2,59,241,2026-01-29T10:15:59.464Z
4500000436,P-A2026-2,11,1299,2026-01-30T08:14:56.923Z
4500000437,P-A2026-3,64,463,2026-01-30T08:15:23.356Z
4500000438,P-A2026-2,59,241,2026-01-30T08:15:49.664Z
4500000439,P-A2026-2,59,241,2026-01-30T08:16:16.458Z
4500000453,P-A2026-2,11,1299,2026-02-05T11:49:54.229Z
4500000454,P-A2026-3,64,463,2026-02-05T11:50:20.341Z
4500000455,P-A2026-2,59,241,2026-02-05T11:50:49.535Z
4500000456,P-A2026-2,59,241,2026-02-05T11:51:16.217Z
4500000457,P-A2026-2,11,1299,2026-02-05T12:12:22.548Z
4500000458,P-A2026-3,64,463,2026-02-05T12:12:48.622Z
4500000459,P-A2026-2,59,241,2026-02-05T12:13:15.065Z
4500000460,P-A2026-2,59,241,2026-02-05T12:13:41.805Z
4500000464,P-A2026-2,11,1299,2026-02-05T13:55:59.071Z
4500000465,P-A2026-3,64,463,2026-02-05T13:56:25.010Z
4500000466,P-A2026-2,59,241,2026-02-05T13:56:50.333Z
4500000467,P-A2026-2,59,241,2026-02-05T13:57:17.526Z
4500000472,P-A2026-2,11,1299,2026-02-06T06:04:05.125Z
4500000482,P-A2026-2,15,1699,2026-02-06T10:28:48.098Z
4500000483,P-A2026-3,34,4763,2026-02-06T10:29:14.889Z
4500000484,P-A2026-2,11,1299,2026-02-06T11:35:08.846Z
4500000485,P-A2026-3,64,463,2026-02-06T11:35:36.868Z
4500000486,P-A2026-2,59,241,2026-02-06T11:36:04.177Z
4500000487,P-A2026-2,59,241,2026-02-06T11:36:32.149Z
4500000488,P-A2026-2,15,1699,2026-02-06T11:40:11.730Z
4500000489,P-A2026-2,15,1699,2026-02-06T11:48:13.197Z
4500000490,P-A2026-2,15,1699,2026-02-06T11:56:09.639Z
4500000491,P-A2026-3,34,4763,2026-02-06T11:56:38.556Z
4500000492,P-A2026-2,15,1699,2026-02-06T12:00:16.202Z
4500000493,P-A2026-3,34,4763,2026-02-06T12:00:47.760Z
4500000494,P-A2026-2,99,2541,2026-02-06T12:01:19.118Z
4500000495,P-A2026-2,15,1699,2026-02-06T12:05:48.957Z
4500000496,P-A2026-3,34,4763,2026-02-06T12:06:20.424Z
4500000497,P-A2026-2,99,2541,2026-02-06T12:06:51.831Z
4500000498,P-A2026-2,11,1299,2026-02-06T12:08:28.000Z
4500000499,P-A2026-3,64,463,2026-02-06T12:08:59.280Z
4500000500,P-A2026-2,59,241,2026-02-06T12:09:30.657Z
4500000501,P-A2026-2,59,241,2026-02-06T12:10:02.206Z
